Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,404,472,OLY,P008829,"PETERS, ALEC",3FGM,Three Pointer,3,-627,426,H,0,0,0,35,06:00,66,52,20260522163605
2025,404,474,ULK,P006961,"BIBEROVIC, TARIK",2FGA,Missed Two Pointer,0,75,489,G,0,0,0,35,05:33,66,52,20260522163631
2025,404,476,OLY,P013380,"FOURNIER, EVAN",2FGA,Missed Two Pointer,0,181,106,C,0,0,0,35,05:13,66,52,20260522163651
2025,404,478,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-683,181,H,0,0,0,35,05:02,66,52,20260522163703
2025,404,481,ULK,P006961,"BIBEROVIC, TARIK",3FGA,Missed Three Pointer,0,420,677,I,0,0,0,36,04:57,66,52,20260522163708
2025,404,492,OLY,P012610,"WARD, TYSON",2FGM,Two Pointer,2,-119,69,B,0,0,0,36,04:39,68,52,20260522163957
2025,404,496,OLY,P012610,"WARD, TYSON",FTM,Free Throw In,1,-1,-1, ,0,0,0,36,04:32,69,54,20260522164034
2025,404,538,ULK,P009863,"BALDWIN IV, WADE",2FGM,Two Pointer,2,-457,426,F,0,0,0,36,04:32,69,54,20260522164737
2025,404,499,OLY,P012610,"WARD, TYSON",2FGM,Two Pointer,2,-138,138,B,0,0,0,37,03:52,71,54,20260522164118
2025,404,504,ULK,P009783,"COLSON, BONZIE",3FGA,Missed Three Pointer,0,677,144,I,0,0,0,37,03:44,71,54,20260522164152
2025,404,511,ULK,P002849,"MELLI, NICOLO",3FGA,Missed Three Pointer,0,87,746,I,0,0,0,37,03:26,71,54,20260522164236
2025,404,513,OLY,P013380,"FOURNIER, EVAN",3FGA,Missed Three Pointer,0,589,520,I,0,0,0,37,04:00,71,54,20260522164302
2025,404,516,OLY,P012610,"WARD, TYSON",2FGA,Missed Two Pointer,0,75,125,C,0,0,0,38,02:56,71,54,20260522164306
2025,404,520,ULK,P009863,"BALDWIN IV, WADE",FTM,Free Throw In,1,-1,-1, ,1,0,0,38,02:50,71,55,20260522164341
2025,404,529,ULK,P009863,"BALDWIN IV, WADE",FTM,Free Throw In,1,-1,-1, ,0,0,1,38,02:22,71,56,20260522164523
2025,404,532,OLY,P008829,"PETERS, ALEC",3FGM,Three Pointer,3,-652,282,H,0,0,0,38,03:00,74,56,20260522164600
2025,404,539,ULK,P002849,"MELLI, NICOLO",3FGA,Missed Three Pointer,0,602,401,I,0,0,0,39,01:44,74,56,20260522164806
2025,404,543,ULK,P002849,"MELLI, NICOLO",2FGM,Two Pointer,2,12,31,A,0,0,1,39,01:15,74,58,20260522164837
2025,404,546,OLY,P009849,"DORSEY, TYLER",2FGA,Missed Two Pointer,0,338,81,E,0,0,0,40,00:49,74,58,20260522164904
2025,404,548,OLY,P003941,"MILUTINOV, NIKOLA",2FGM,Two Pointer,2,-62,62,B,0,1,0,40,00:48,76,58,20260522164907
2025,404,549,ULK,P002849,"MELLI, NICOLO",3FGM,Three Pointer,3,-690,-43,H,0,0,0,40,00:39,76,61,20260522164918
2025,404,551,OLY,P013380,"FOURNIER, EVAN",3FGM,Three Pointer,3,-194,1053,H,0,0,0,40,00:18,79,61,20260522164941
2025,404,553,ULK,P009863,"BALDWIN IV, WADE",3FGA,Missed Three Pointer,0,-370,621,H,0,0,0,40,00:10,79,61,20260522164955
